"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: domainsCount","Param: mapType","Param: operationMix","Param: prefillFactor","Param: prefixLength","Param: seed"
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"12614,989294","855,403814","ops/ms",5,SYNCHRONIZED_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"9630,379737","567,950044","ops/ms",5,SYNCHRONIZED_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"7971,971713","405,724244","ops/ms",5,SYNCHRONIZED_HASH_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"7448,344890","458,922984","ops/ms",5,SYNCHRONIZED_HASH_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"7091,066003","587,637213","ops/ms",5,SYNCHRONIZED_HASH_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"7323,180746","511,106817","ops/ms",5,SYNCHRONIZED_HASH_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"5108,027874","198,647730","ops/ms",5,SYNCHRONIZED_TREE_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"3301,321637","117,942021","ops/ms",5,SYNCHRONIZED_TREE_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"2653,396493","108,005549","ops/ms",5,SYNCHRONIZED_TREE_MAP,70:20,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"2438,423643","93,269988","ops/ms",5,SYNCHRONIZED_TREE_MAP,30:35,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"2379,219737","100,134696","ops/ms",5,SYNCHRONIZED_TREE_MAP,10:45,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"2376,997102","143,556139","ops/ms",5,SYNCHRONIZED_TREE_MAP,0:50,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"6663,941790","777,323673","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,100:0,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"4162,865711","223,678743","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,90:5,0.5,3,42
"ua.edu.ukma.benchmarks.EmailKeysMixedOperationsBenchmark.benchmark","thrpt",16,15,"3081,726773","194,389517","ops/ms",5,RW_SYNCHRONIZED_HASH_MAP,70:20,0.5,3,42
