"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: mapType","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_1048576","ss",16,15,"83,786237","21,929603","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_1048576","ss",16,15,"179,353787","27,342341","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_1048576","ss",16,15,"66,338591","23,681918","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_1048576","ss",16,15,"609,580315","56,840969","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_1048576","ss",16,15,"9,447978","3,666133","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_1048576","ss",16,15,"257,246449","106,777436","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_1048576","ss",16,15,"198,920622","3,787662","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_1048576","ss",16,15,"84,937968","11,887572","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16384","ss",16,15,"0,654620","0,841139","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16384","ss",16,15,"1,477098","0,965358","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16384","ss",16,15,"0,222394","0,158178","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16384","ss",16,15,"1,225899","0,646401","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16384","ss",16,15,"0,291110","0,257330","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16384","ss",16,15,"1,439582","2,426432","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16384","ss",16,15,"1,481649","0,593682","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16384","ss",16,15,"0,846770","0,380459","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16777216","ss",16,15,"1874,924822","165,073991","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16777216","ss",16,15,"16941,951106","4099,480171","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16777216","ss",16,15,"1807,415788","335,712935","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16777216","ss",16,15,"19314,166357","1085,547577","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16777216","ss",16,15,"511,730555","29,251480","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16777216","ss",16,15,"5550,406107","1519,010414","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16777216","ss",16,15,"6166,408914","413,792613","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_16_16777216","ss",16,15,"5364,316929","401,113925","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_1048576","ss",1,15,"72,529513","8,130185","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_1048576","ss",1,15,"509,166787","18,270872","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_1048576","ss",1,15,"77,260680","8,956616","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_1048576","ss",1,15,"524,116047","20,763753","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_1048576","ss",1,15,"113,288033","10,494459","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_1048576","ss",1,15,"226,289840","13,905076","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_1048576","ss",1,15,"517,696120","13,963080","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_1048576","ss",1,15,"1052,685753","20,534143","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"1,084600","0,429234","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"3,853867","1,326199","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"1,123713","0,488011","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"3,580607","1,050137","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"2,376180","1,347321","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"4,392307","1,857419","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"4,702627","1,743419","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_1_16384","ss",1,15,"9,396860","1,309805","ms/op",LOCK_FREE_CHROMATIC_MAP,42
