"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: keyDistribution","Param: keyRange","Param: mapType","Param: prefillFactor","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"23307,938382","5317,667655","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"18250,632189","8203,349227","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"4167,745865","3410,991144","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"889,560328","275,269634","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"17136,268279","1122,565563","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"11916,552540","1111,278080","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"3787,872331","540,590705","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"1431,843407","238,123135","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"16270,655209","2043,126252","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"8786,434914","1480,192956","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"5392,679267","475,904973","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"2091,541027","250,834484","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"10033,247011","729,290173","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"6722,294317","556,681354","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"2477,739617","152,222516","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"833,213078","97,678363","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"824043,188718","286273,044932","ops/ms",SEQUENTIAL,100,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"800727,460656","285309,850502","ops/ms",SEQUENTIAL,100,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"18334,893585","1631,791412","ops/ms",SEQUENTIAL,100,CONCURRENT_HASH_MAP,0.5,42
