Benchmark,Param: keyDistribution,Mode,Threads,Samples,Score,"Score Error (99,9%)",Unit,Param: keyRange,Param: mapType,Param: operationMix,Param: prefillFactor,Param: seed
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"19649,577981","1792,007360",ops/ms,100,SYNCHRONIZED_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"16323,733454","1065,044780",ops/ms,100,SYNCHRONIZED_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"14793,164584","925,849980",ops/ms,100,SYNCHRONIZED_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"14402,048138","1034,061569",ops/ms,100,SYNCHRONIZED_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"14084,240561","780,396970",ops/ms,100,SYNCHRONIZED_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"13632,617795","1349,125153",ops/ms,100,SYNCHRONIZED_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"13694,500726","709,946671",ops/ms,100,SYNCHRONIZED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"12211,725552","509,126361",ops/ms,100,SYNCHRONIZED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"9910,870006","376,265498",ops/ms,100,SYNCHRONIZED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"8739,933741","309,504881",ops/ms,100,SYNCHRONIZED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"8290,346866","298,926207",ops/ms,100,SYNCHRONIZED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"8138,422554","412,554813",ops/ms,100,SYNCHRONIZED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6956,544036","965,518570",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"15336,699471","791,095652",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"13323,255205","582,619008",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"12713,445956","426,005238",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"14120,568388","238,559142",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"28589,452032","772,972972",ops/ms,100,RW_SYNCHRONIZED_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6704,108810","577,142829",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6664,423056","252,016203",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"4869,639953","190,664999",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"4630,919258","202,793604",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"5293,111842","98,291174",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"8964,683414","167,067067",ops/ms,100,RW_SYNCHRONIZED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"802650,933932","158760,428256",ops/ms,100,CONCURRENT_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"301381,562627","83069,965540",ops/ms,100,CONCURRENT_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"182007,829032","14989,653052",ops/ms,100,CONCURRENT_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"114302,968566","7513,306229",ops/ms,100,CONCURRENT_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"93907,781675","3113,363807",ops/ms,100,CONCURRENT_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"88071,210144","3924,311201",ops/ms,100,CONCURRENT_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"451732,685223","155935,474756",ops/ms,100,NON_BLOCKING_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"386981,852047","115680,404246",ops/ms,100,NON_BLOCKING_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"259196,717600","63684,110968",ops/ms,100,NON_BLOCKING_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"201548,315911","36988,427057",ops/ms,100,NON_BLOCKING_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"172909,999303","28947,040998",ops/ms,100,NON_BLOCKING_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"162984,215649","26362,102301",ops/ms,100,NON_BLOCKING_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"58602,863922","3399,645771",ops/ms,100,SHARDED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"19042,570009","938,064031",ops/ms,100,SHARDED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"14069,330790","606,212323",ops/ms,100,SHARDED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"12999,016543","209,765742",ops/ms,100,SHARDED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"15574,768677","644,722090",ops/ms,100,SHARDED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"18693,905804","455,196221",ops/ms,100,SHARDED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"260982,633255","58716,117101",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"113611,293767","4008,192003",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"61492,114874","1283,808593",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"27891,396633","466,398707",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"22177,741340","585,254818",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"20473,681416","496,967287",ops/ms,100,LOCK_FREE_CHROMATIC_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"19120,877722","1120,137836",ops/ms,10000,SYNCHRONIZED_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"14203,737216","1235,550615",ops/ms,10000,SYNCHRONIZED_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"12622,876509","801,300648",ops/ms,10000,SYNCHRONIZED_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"11615,846250","568,491931",ops/ms,10000,SYNCHRONIZED_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"10559,643790","997,210260",ops/ms,10000,SYNCHRONIZED_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"11484,943256","732,596033",ops/ms,10000,SYNCHRONIZED_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"9199,545383","461,177879",ops/ms,10000,SYNCHRONIZED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6157,125633","301,283793",ops/ms,10000,SYNCHRONIZED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"5319,454432","359,713372",ops/ms,10000,SYNCHRONIZED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"4981,940164","373,319179",ops/ms,10000,SYNCHRONIZED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"4682,397559","233,108565",ops/ms,10000,SYNCHRONIZED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"4716,723449","401,529822",ops/ms,10000,SYNCHRONIZED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6529,665944","485,794232",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"8753,688526","223,337076",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"7365,698166","103,863001",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6819,388863","198,711450",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"7538,155959","181,641514",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"13906,626037","549,738644",ops/ms,10000,RW_SYNCHRONIZED_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6385,147246","587,610065",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"2098,181845","45,343954",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"1591,799606","46,096197",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"1757,685436","48,780937",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"2128,267289","64,550038",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"2737,929544","98,605218",ops/ms,10000,RW_SYNCHRONIZED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"730343,806359","273741,040138",ops/ms,10000,CONCURRENT_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"437500,720457","19942,220862",ops/ms,10000,CONCURRENT_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"241495,217553","35411,706628",ops/ms,10000,CONCURRENT_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"164226,550928","25292,370886",ops/ms,10000,CONCURRENT_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"149944,859113","8761,963030",ops/ms,10000,CONCURRENT_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"143305,200404","6521,754745",ops/ms,10000,CONCURRENT_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"474639,986136","174341,918217",ops/ms,10000,NON_BLOCKING_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"464447,482582","81669,358527",ops/ms,10000,NON_BLOCKING_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"336506,341259","85120,113589",ops/ms,10000,NON_BLOCKING_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"236775,838529","64637,351861",ops/ms,10000,NON_BLOCKING_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"213445,021569","53598,876368",ops/ms,10000,NON_BLOCKING_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"212820,629199","42554,775728",ops/ms,10000,NON_BLOCKING_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"39485,804528","3666,517405",ops/ms,10000,SHARDED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"9693,710889","275,731595",ops/ms,10000,SHARDED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6753,035397","193,550161",ops/ms,10000,SHARDED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6103,239362","133,758279",ops/ms,10000,SHARDED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6807,121039","180,287467",ops/ms,10000,SHARDED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"7859,812742","163,325023",ops/ms,10000,SHARDED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"117956,690705","17209,064715",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"57757,972356","729,758935",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"42252,500017","579,192558",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"31590,562470","1489,756073",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"26948,069750","1061,847106",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"26647,555545","981,073901",ops/ms,10000,LOCK_FREE_CHROMATIC_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"11630,833283","1282,768565",ops/ms,1000000,SYNCHRONIZED_HASH_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"9903,547791","734,410268",ops/ms,1000000,SYNCHRONIZED_HASH_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"8393,980387","480,342084",ops/ms,1000000,SYNCHRONIZED_HASH_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"7923,217760","358,312319",ops/ms,1000000,SYNCHRONIZED_HASH_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"7700,590154","372,614727",ops/ms,1000000,SYNCHRONIZED_HASH_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"7737,577813","435,146572",ops/ms,1000000,SYNCHRONIZED_HASH_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"2763,887014","1011,857550",ops/ms,1000000,SYNCHRONIZED_TREE_MAP,100:0,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"2547,178447","600,011669",ops/ms,1000000,SYNCHRONIZED_TREE_MAP,90:5,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"2113,481463","500,977472",ops/ms,1000000,SYNCHRONIZED_TREE_MAP,70:20,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"2063,377214","258,132141",ops/ms,1000000,SYNCHRONIZED_TREE_MAP,30:35,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"1912,272618","214,447012",ops/ms,1000000,SYNCHRONIZED_TREE_MAP,10:45,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"1861,645863","284,819022",ops/ms,1000000,SYNCHRONIZED_TREE_MAP,0:50,0.5,42
ua.edu.ukma.benchmarks.IntegerKeysMixedOperationsBenchmark.benchmark,UNIFORM,thrpt,16,15,"6482,425861","584,512303",ops/ms,1000000,RW_SYNCHRONIZED_HASH_MAP,100:0,0.5,42
