"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: mapType","Param: size"
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,232872",NaN,"s/op",SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"80,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,010188",NaN,"s/op",SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"7520,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,187830",NaN,"s/op",SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"705632,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"8,973746",NaN,"s/op",SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"72388704,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,017932",NaN,"s/op",SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"80,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,053506",NaN,"s/op",SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly:totalSize","ss",1,1,"7280,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsOnly","ss",1,1,"1,253642",NaN,"s/op",SYNCHRONIZED_TREE_MAP,10000
